Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2024-02-17,9388.7275390625,19373.373046875,4617.1611328125,5419.30859375,6223.56982421875,12850.0,3920.458740234375,4380.1728515625,5255.58056640625,11229.8076171875
2024-02-18,9388.7275390625,19373.373046875,4617.1611328125,5419.30859375,6223.56982421875,12850.0,3920.458740234375,4380.1728515625,5255.58056640625,11229.8076171875
2024-02-19,9317.9580078125,19447.791015625,4637.14892578125,5375.24853515625,6180.3505859375,12850.0,3920.458740234375,4316.99755859375,5146.08935546875,11352.4033203125
2024-02-20,9459.49609375,18852.451171875,4617.1611328125,5551.486328125,6180.3505859375,11502.5,3967.57958984375,4380.1728515625,5277.47900390625,11327.884765625
2024-02-21,9412.3173828125,19447.791015625,4667.13037109375,5551.486328125,6266.7890625,12025.0,3939.30712890625,4422.2900390625,5255.58056640625,11254.3271484375
2024-02-22,9317.9580078125,19348.568359375,4627.1552734375,5507.4267578125,6137.13134765625,12025.0,3854.489501953125,4443.34814453125,5211.7841796875,11376.9228515625
2024-02-23,9270.77734375,19398.1796875,4487.2412109375,5397.27880859375,6093.912109375,12025.0,3863.913818359375,4316.99755859375,5167.98779296875,11327.884765625
2024-02-24,9270.77734375,19398.1796875,4487.2412109375,5397.27880859375,6093.912109375,12025.0,3863.913818359375,4316.99755859375,5167.98779296875,11327.884765625
2024-02-25,9270.77734375,19398.1796875,4487.2412109375,5397.27880859375,6093.912109375,12025.0,3863.913818359375,4316.99755859375,5167.98779296875,11327.884765625
2024-02-26,9247.1884765625,19224.5390625,4517.22265625,5441.337890625,6093.912109375,13000.0,3854.489501953125,4316.99755859375,5167.98779296875,11327.884765625
2024-02-27,9317.9580078125,19323.76171875,4447.265625,5397.27880859375,6115.52197265625,12995.0,3760.247802734375,4359.1142578125,5255.58056640625,11376.9228515625
2024-02-28,9435.9072265625,19323.76171875,4507.22900390625,5485.3974609375,6158.7412109375,12897.5,3760.247802734375,4401.23193359375,5233.6826171875,11376.9228515625
